instance optimal_length iteration path_length move_estimates
prb20800 10 54 34 [8,8,8,8,8,8,8,8,8,8,8,8,8,9,9]
prb20800 10 55 113 [8,8,8,8,8,8,8,8,8,8,8,8,8,9,9]
prb20800 10 56 62 [8,8,8,8,8,8,8,8,8,8,8,8,8,9,9]
prb20800 10 57 65 [8,8,8,8,8,8,8,8,8,8,8,8,8,9,9]
prb20800 10 58 109 [8,8,8,8,8,8,8,8,8,8,8,8,9,9,9]
prb20800 10 59 20 [8,8,8,8,8,8,8,8,8,8,8,8,9,9,9]
prb20800 10 60 28 [8,8,8,8,8,8,8,8,8,8,8,8,9,9,9]
prb20800 10 61 59 [8,8,8,8,8,8,8,8,8,8,8,9,9,9,9]
prb20800 10 62 75 [8,8,8,8,8,8,8,8,8,8,8,9,9,9,9]
prb20800 10 63 49 [8,8,8,8,8,8,8,8,8,8,8,9,9,9,9]
prb20800 10 64 36 [8,8,8,8,8,8,8,8,8,8,9,9,9,9,9]
prb20800 10 65 81 [8,8,8,8,8,8,8,8,8,9,9,9,9,9,9]
prb20800 10 66 16 [8,8,8,8,8,8,8,8,9,9,9,9,9,9,9]
prb20800 10 67 30 [8,8,8,8,8,8,8,8,9,9,9,9,9,9,9]
prb20800 10 68 43 [8,8,8,8,8,8,8,9,9,9,9,9,9,9,9]
prb20800 10 69 77 [8,8,8,8,8,8,9,9,9,9,9,9,9,9,9]
prb20800 10 70 55 [8,8,8,8,8,9,9,9,9,9,9,9,9,9,9]
prb20800 10 71 25 [8,8,8,8,9,9,9,9,9,9,9,9,9,9,9]
prb20800 10 72 139 [8,8,8,9,9,9,9,9,9,9,9,9,9,9,9]
prb20800 10 73 57 [8,8,9,9,9,9,9,9,9,9,9,9,9,9,9]
prb20800 10 74 29 [8,9,9,9,9,9,9,9,9,9,9,9,9,9,9]
prb20800 10 75 37 [9,9,9,9,9,9,9,9,9,9,9,9,9,9,9]
prb20800 10 76 124 [9,9,9,9,9,9,9,9,9,9,9,9,9,9,10]
prb20800 10 77 51 [9,9,9,9,9,9,9,9,9,9,9,9,9,9,10]
prb20800 10 78 36 [9,9,9,9,9,9,9,9,9,9,9,9,9,9,10]
prb20800 10 79 79 [9,9,9,9,9,9,9,9,9,9,9,9,9,9,10]
prb20800 10 80 65 [9,9,9,9,9,9,9,9,9,9,9,9,9,9,10]
prb20800 10 81 46 [9,9,9,9,9,9,9,9,9,9,9,9,9,9,10]
prb20800 10 82 53 [9,9,9,9,9,9,9,9,9,9,9,9,9,9,10]
prb20800 10 83 63 [9,9,9,9,9,9,9,9,9,9,9,9,9,9,10]
prb20800 10 84 62 [9,9,9,9,9,9,9,9,9,9,9,9,9,9,10]
prb20800 10 85 44 [9,9,9,9,9,9,9,9,9,9,9,9,9,9,10]
prb20800 10 86 69 [9,9,9,9,9,9,9,9,9,9,9,9,9,9,10]
prb20800 10 87 63 [9,9,9,9,9,9,9,9,9,9,9,9,9,9,10]
prb20800 10 88 15 [9,9,9,9,9,9,9,9,9,9,9,9,9,9,10]
prb20800 10 89 43 [9,9,9,9,9,9,9,9,9,9,9,9,9,9,10]
prb20800 10 90 43 [9,9,9,9,9,9,9,9,9,9,9,9,9,9,10]
prb20800 10 91 24 [9,9,9,9,9,9,9,9,9,9,9,9,9,9,10]
prb20800 10 92 58 [9,9,9,9,9,9,9,9,9,9,9,9,9,9,10]
prb20800 10 93 58 [9,9,9,9,9,9,9,9,9,9,9,9,9,9,10]
