samples function value
190 whole-Plan-logp -2.86577448167
191 action-logp -2.70224327219
191 whole-Plan-logp -2.81944998175
192 action-logp -2.73794784653
192 whole-Plan-logp -2.91982347367
193 action-logp -2.80109769388
193 whole-Plan-logp -2.85164354523
194 action-logp -2.77519554003
194 whole-Plan-logp -2.63636863032
195 action-logp -2.66617501567
195 whole-Plan-logp -2.92217031021
196 action-logp -2.59775342711
196 whole-Plan-logp -2.91973503265
197 action-logp -2.57124461436
197 whole-Plan-logp -2.82717143581
198 action-logp -2.73510496186
198 whole-Plan-logp -2.81199579757
199 action-logp -2.79564976097
199 whole-Plan-logp -2.83790665712
200 action-logp -2.77908522601
200 whole-Plan-logp -2.83953937277
201 action-logp -2.81691666188
201 whole-Plan-logp -2.8124964491
202 action-logp -2.82134067219
202 whole-Plan-logp -2.87131245709
203 action-logp -2.65940823835
203 whole-Plan-logp -2.83147892752
204 action-logp -2.85819406518
204 whole-Plan-logp -2.86791079563
205 action-logp -2.70624199996
205 whole-Plan-logp -3.01128514028
206 action-logp -2.80399463114
206 whole-Plan-logp -2.91168298776
207 action-logp -2.59716158054
207 whole-Plan-logp -2.86103219673
208 action-logp -2.85158698619
208 whole-Plan-logp -2.89117325605
209 action-logp -2.86021453306
209 whole-Plan-logp -2.75163123781
210 action-logp -2.72269444658
210 whole-Plan-logp -2.94727328835
211 action-logp -2.75277107843
211 whole-Plan-logp -2.87611634646
212 action-logp -2.61218366992
212 whole-Plan-logp -2.76103807733
213 action-logp -2.69398692419
213 whole-Plan-logp -2.79002036687
214 action-logp -2.90865756549
214 whole-Plan-logp -2.8395681045
215 action-logp -2.74708352351
215 whole-Plan-logp -2.83974528939
216 action-logp -2.81494963996
216 whole-Plan-logp -3.01040494072
217 action-logp -2.75840325094
217 whole-Plan-logp -2.80941244948
218 action-logp -2.86752074332
218 whole-Plan-logp -2.98625617135
219 action-logp -2.88807998968
219 whole-Plan-logp -2.83590176244
220 action-logp -2.70778794162
220 whole-Plan-logp -2.88901194232
221 action-logp -2.81735043962
221 whole-Plan-logp -2.85243858693
222 action-logp -2.63014355242
222 whole-Plan-logp -2.79768716324
223 action-logp -2.80936916141
223 whole-Plan-logp -2.94963849406
224 action-logp -2.67804981807
224 whole-Plan-logp -2.9562909961
225 action-logp -2.73729323215
225 whole-Plan-logp -2.89371878476
226 action-logp -2.56990976113
226 whole-Plan-logp -2.829940741
227 action-logp -2.88743544301
227 whole-Plan-logp -2.6382913692
228 action-logp -2.72176421081
228 whole-Plan-logp -2.92226569809
229 action-logp -2.79692744313
229 whole-Plan-logp -2.90801289485
230 action-logp -2.85380241494
230 whole-Plan-logp -2.98003913403
231 action-logp -2.89628475965
231 whole-Plan-logp -2.81106092335
232 action-logp -2.6113169857
232 whole-Plan-logp -2.89110257091
233 action-logp -2.77592343233
233 whole-Plan-logp -2.90401244038
234 action-logp -2.65249881396
234 whole-Plan-logp -2.83415606914
235 action-logp -2.84805973544
235 whole-Plan-logp -2.86347592577
236 action-logp -2.61861215458
236 whole-Plan-logp -2.86837582343
237 action-logp -2.67283000782
