{'is_stop': '<lambda>', 'h': 'randh', 'expanded': 1345, 'solution': 8, 'stops': 0, 'instance': 2, 'generated': 16778, 'entry': 'entry', 'close_size': 258, 'open_size': 8373}
{'is_stop': '<lambda>', 'h': 'randh', 'expanded': 956, 'solution': 9, 'stops': 0, 'instance': 3, 'generated': 8018, 'entry': 'entry', 'close_size': 146, 'open_size': 425}
{'is_stop': '<lambda>', 'h': 'randh', 'expanded': 14080, 'solution': 13, 'stops': 0, 'instance': 4, 'generated': 129256, 'entry': 'entry', 'close_size': 376, 'open_size': 12635}
{'is_stop': '<lambda>', 'h': 'randh', 'expanded': 21, 'solution': 7, 'stops': 0, 'instance': 5, 'generated': 93, 'entry': 'entry', 'close_size': 17, 'open_size': 27}
{'is_stop': '<lambda>', 'h': 'randh', 'expanded': 635, 'solution': 9, 'stops': 0, 'instance': 6, 'generated': 6379, 'entry': 'entry', 'close_size': 224, 'open_size': 1582}
{'is_stop': '<lambda>', 'h': 'randh', 'expanded': 7941, 'solution': 12, 'stops': 0, 'instance': 7, 'generated': 82719, 'entry': 'entry', 'close_size': 618, 'open_size': 6867}
{'is_stop': '<lambda>', 'h': 'randh', 'expanded': 525, 'solution': 7, 'stops': 0, 'instance': 8, 'generated': 5660, 'entry': 'entry', 'close_size': 175, 'open_size': 1536}
{'is_stop': '<lambda>', 'h': 'magsize', 'expanded': 8, 'solution': 6, 'stops': 0, 'instance': 0, 'generated': 66, 'entry': 'no_g', 'close_size': 8, 'open_size': 52}
{'is_stop': '<lambda>', 'h': 'magsize', 'expanded': 9, 'solution': 6, 'stops': 0, 'instance': 1, 'generated': 105, 'entry': 'no_g', 'close_size': 9, 'open_size': 88}
{'is_stop': '<lambda>', 'h': 'magsize', 'expanded': 13, 'solution': 8, 'stops': 0, 'instance': 2, 'generated': 167, 'entry': 'no_g', 'close_size': 13, 'open_size': 141}
{'is_stop': '<lambda>', 'h': 'magsize', 'expanded': 14, 'solution': 11, 'stops': 0, 'instance': 3, 'generated': 124, 'entry': 'no_g', 'close_size': 14, 'open_size': 94}
{'is_stop': '<lambda>', 'h': 'magsize', 'expanded': 483, 'solution': 13, 'stops': 0, 'instance': 4, 'generated': 4835, 'entry': 'no_g', 'close_size': 113, 'open_size': 1580}
{'is_stop': '<lambda>', 'h': 'magsize', 'expanded': 8, 'solution': 7, 'stops': 0, 'instance': 5, 'generated': 34, 'entry': 'no_g', 'close_size': 8, 'open_size': 20}
{'is_stop': '<lambda>', 'h': 'magsize', 'expanded': 20, 'solution': 11, 'stops': 0, 'instance': 6, 'generated': 205, 'entry': 'no_g', 'close_size': 19, 'open_size': 161}
{'is_stop': '<lambda>', 'h': 'magsize', 'expanded': 1073, 'solution': 15, 'stops': 0, 'instance': 7, 'generated': 11033, 'entry': 'no_g', 'close_size': 202, 'open_size': 2834}
{'is_stop': '<lambda>', 'h': 'magsize', 'expanded': 14, 'solution': 8, 'stops': 0, 'instance': 8, 'generated': 139, 'entry': 'no_g', 'close_size': 14, 'open_size': 106}
{'is_stop': '<lambda>', 'h': 'magsize', 'expanded': 8, 'solution': 6, 'stops': 0, 'instance': 0, 'generated': 65, 'entry': 'g_plus_2h', 'close_size': 8, 'open_size': 50}
{'is_stop': '<lambda>', 'h': 'magsize', 'expanded': 17, 'solution': 6, 'stops': 0, 'instance': 1, 'generated': 192, 'entry': 'g_plus_2h', 'close_size': 16, 'open_size': 143}
{'is_stop': '<lambda>', 'h': 'magsize', 'expanded': 11, 'solution': 8, 'stops': 0, 'instance': 2, 'generated': 149, 'entry': 'g_plus_2h', 'close_size': 11, 'open_size': 128}
{'is_stop': '<lambda>', 'h': 'magsize', 'expanded': 131, 'solution': 9, 'stops': 0, 'instance': 3, 'generated': 1152, 'entry': 'g_plus_2h', 'close_size': 63, 'open_size': 403}
{'is_stop': '<lambda>', 'h': 'magsize', 'expanded': 1773, 'solution': 13, 'stops': 0, 'instance': 4, 'generated': 16569, 'entry': 'g_plus_2h', 'close_size': 204, 'open_size': 2814}
{'is_stop': '<lambda>', 'h': 'magsize', 'expanded': 7, 'solution': 7, 'stops': 0, 'instance': 5, 'generated': 29, 'entry': 'g_plus_2h', 'close_size': 7, 'open_size': 17}
{'is_stop': '<lambda>', 'h': 'magsize', 'expanded': 26, 'solution': 9, 'stops': 0, 'instance': 6, 'generated': 264, 'entry': 'g_plus_2h', 'close_size': 25, 'open_size': 199}
{'is_stop': '<lambda>', 'h': 'magsize', 'expanded': 1598, 'solution': 12, 'stops': 0, 'instance': 7, 'generated': 16506, 'entry': 'g_plus_2h', 'close_size': 229, 'open_size': 5816}
{'is_stop': '<lambda>', 'h': 'magsize', 'expanded': 13, 'solution': 7, 'stops': 0, 'instance': 8, 'generated': 119, 'entry': 'g_plus_2h', 'close_size': 13, 'open_size': 91}

