puzzle,path,generated,expanded,close,open
Jam-13,18,4645,610,610,605
Jam-13,18,4755,625,625,599
Jam-13,18,4798,631,631,591
Jam-13,18,4687,616,616,608
Jam-13,18,4594,604,604,611
Jam-13,18,4844,636,636,606
Jam-13,18,4753,624,624,614
Jam-13,18,4820,633,633,612
Jam-13,18,4720,621,621,592
Jam-13,18,4717,619,619,611
Jam-13,18,4604,605,605,616
Jam-13,18,4767,626,626,621
Jam-13,18,4718,620,620,618
Jam-13,18,4582,602,602,607
Jam-13,18,4606,606,606,597
Jam-13,18,4819,633,633,606
Jam-13,18,4752,622,622,645
Jam-13,18,4630,609,609,608
Jam-13,18,4748,623,623,631
Jam-13,18,4600,604,604,614
Jam-13,18,4819,633,633,622
Jam-13,18,4818,633,633,611
Jam-13,18,4647,611,611,609
Jam-13,18,4711,619,619,600
Jam-13,18,4683,614,614,634
Jam-13,18,4780,628,628,615
Jam-13,18,4827,634,634,611
Jam-13,18,4705,619,619,604
Jam-13,18,4921,645,645,635
Jam-13,18,4601,605,605,598
Jam-13,18,4614,607,607,594
Jam-13,18,4907,644,644,623
Jam-13,18,4699,616,616,632
Jam-13,18,4565,601,601,592
Jam-13,18,4799,630,630,612
Jam-13,18,4571,601,601,600
Jam-13,18,4703,617,617,607
Jam-13,18,4712,618,618,613
Jam-13,18,4770,627,627,619
Jam-13,18,4916,644,644,637
Jam-13,18,4669,613,613,612
Jam-13,18,4669,613,613,604
Jam-13,18,4607,606,606,596
Jam-13,18,4665,613,613,601
Jam-13,18,4755,625,625,617
Jam-13,18,4660,612,612,615
Jam-13,18,4641,611,611,587
Jam-13,18,4662,612,612,617
Jam-13,18,4721,620,620,603
Jam-13,18,4629,608,608,613
Jam-13,18,4842,635,635,628
Jam-13,18,4735,621,621,620
Jam-13,18,4665,613,613,594
Jam-13,18,4698,617,617,605
Jam-13,18,4679,615,615,599
Jam-13,18,4678,615,615,602
Jam-13,18,4579,602,602,607
Jam-13,18,4787,629,629,615
Jam-13,18,4618,608,608,583
Jam-13,18,4754,624,624,620
Jam-13,18,4570,601,601,599
Jam-13,18,4803,630,630,628
Jam-13,18,4729,621,621,610
Jam-13,18,4654,611,611,609
Jam-13,18,4672,614,614,596
Jam-13,18,4583,602,602,613
Jam-13,18,4600,605,605,602
Jam-13,18,4558,600,600,596
Jam-13,18,4660,612,612,605
Jam-13,18,4587,603,603,605
Jam-13,18,4719,619,619,619
Jam-13,18,4586,603,603,601
Jam-13,18,4541,598,598,588
Jam-13,18,4765,627,627,600
Jam-13,18,4604,606,606,597
Jam-13,18,4552,599,599,594
Jam-13,18,4636,609,609,617
Jam-13,18,4574,602,602,594
Jam-13,18,4882,641,641,608
Jam-13,18,4780,627,627,630
Jam-13,18,4684,616,616,604
Jam-13,18,4594,604,604,607
Jam-13,18,4684,615,615,616
Jam-13,18,4620,608,608,595
Jam-13,18,4549,599,599,590
Jam-14,19,4977,478,478,1015
Jam-14,20,4433,433,433,989
Jam-14,19,4321,424,424,902
Jam-14,20,5053,506,506,1080
Jam-14,20,4013,397,397,873
Jam-14,19,4002,393,393,881
Jam-14,20,4076,404,404,867
Jam-14,19,4306,436,436,910
Jam-14,20,3878,386,386,819
Jam-14,19,3860,382,382,828
Jam-14,19,4723,471,471,1021
Jam-14,20,4942,499,499,973
Jam-14,20,5125,513,513,1081
Jam-14,20,4119,407,407,902
Jam-14,19,4380,440,440,947
Jam-14,20,4649,449,449,1045
Jam-14,20,4813,483,483,1009
Jam-14,20,4067,403,403,875
Jam-14,20,4484,436,436,1022
Jam-14,20,4229,419,419,899
Jam-14,20,4695,455,455,1023
Jam-14,19,5500,541,541,1091
Jam-14,19,5004,504,504,910
Jam-14,19,4564,464,464,913
Jam-14,20,3888,386,386,837
Jam-14,20,4120,403,403,936
Jam-14,20,4536,456,456,996
Jam-14,20,5073,508,508,1034
Jam-14,20,4072,403,403,901
Jam-14,20,4320,420,420,987
Jam-14,20,5134,516,516,1000
Jam-14,20,4630,472,472,934
Jam-14,20,3911,389,389,836
Jam-14,20,5281,525,525,1143
Jam-14,19,4628,454,454,891
Jam-14,19,4205,409,409,927
Jam-14,20,4499,458,458,907
Jam-14,19,4288,421,421,921
Jam-14,20,4973,496,496,1072
Jam-14,20,5094,510,510,1061
Jam-14,19,4582,463,463,937
Jam-14,20,5502,547,547,1040
Jam-14,19,4415,427,427,1008
Jam-14,20,4804,484,484,963
Jam-14,20,4328,426,426,961
Jam-14,19,4692,470,470,1016
Jam-14,20,4403,448,448,893
Jam-14,19,4476,435,435,957
Jam-14,20,4300,418,418,996
Jam-14,20,4675,468,468,1004
Jam-14,20,5327,531,531,1048
Jam-14,19,4389,447,447,814
Jam-14,19,5134,508,508,1087
Jam-14,19,3863,380,380,840
Jam-14,20,4699,471,471,1031
Jam-14,20,4206,410,410,969
Jam-14,19,4695,457,457,984
Jam-14,19,4672,454,454,966
Jam-14,19,4198,429,429,839
Jam-14,20,3962,394,394,862
Jam-14,19,4056,399,399,887
Jam-14,20,4882,492,492,973
Jam-14,20,4697,470,470,1026
Jam-14,20,4282,438,438,891
Jam-14,19,4457,447,447,970
Jam-14,20,5694,559,559,1150
Jam-14,20,4256,414,414,968
Jam-14,20,4779,478,478,1041
Jam-14,20,4828,467,467,1043
Jam-14,20,4155,406,406,957
Jam-14,20,4487,437,437,1036
Jam-14,19,4556,459,459,974
Jam-14,19,3853,382,382,819
Jam-14,19,4501,450,450,970
Jam-14,19,3867,382,382,825
Jam-14,20,4831,485,485,1024
Jam-14,20,4784,479,479,1062
Jam-14,20,4459,437,437,966
Jam-14,20,4415,447,447,955
Jam-14,19,4247,419,419,868
Jam-14,20,4283,437,437,894
Jam-14,20,4631,468,468,977
Jam-14,20,4612,464,464,988
Jam-14,20,4994,496,496,1110
Jam-14,19,4219,410,410,954
Jam-14,20,4814,486,486,1009
Jam-14,20,4911,497,497,935
Jam-14,20,4718,455,455,1071
Jam-14,19,3702,370,370,751
Jam-14,20,4494,435,435,1048
Jam-14,20,4250,434,434,868
Jam-14,20,4385,429,429,946
Jam-14,20,4698,468,468,1041
Jam-14,19,4711,476,476,931
Jam-14,19,4509,454,454,973
Jam-14,20,4383,444,444,932
Jam-14,19,5034,500,500,1060
Jam-14,19,4080,420,420,786
Jam-14,19,3898,385,385,841
Jam-14,20,4110,405,405,908
Jam-15,24,1461,237,237,107
Jam-15,23,1502,244,244,109
Jam-15,23,1508,245,245,106
Jam-15,24,1447,235,235,104
Jam-15,23,1476,240,240,107
Jam-15,23,1436,233,233,102
Jam-15,24,1447,235,235,103
Jam-15,24,1454,236,236,104
Jam-15,23,1466,238,238,104
Jam-15,24,1448,235,235,107
Jam-15,24,1514,246,246,113
Jam-15,24,1463,238,238,107
Jam-15,24,1501,244,244,108
Jam-15,24,1501,244,244,104
Jam-15,23,1469,238,238,109
Jam-15,24,1491,243,243,104
Jam-15,24,1492,242,242,114
Jam-15,23,1445,234,234,102
Jam-15,24,1486,242,242,104
Jam-15,23,1454,236,236,103
Jam-15,24,1494,243,243,110
Jam-15,24,1500,244,244,110
Jam-15,23,1471,239,239,103
Jam-15,23,1438,233,233,102
Jam-15,23,1449,235,235,106
Jam-15,23,1513,246,246,108
Jam-15,24,1459,237,237,108
Jam-15,23,1503,244,244,104
Jam-15,24,1448,235,235,105
Jam-15,24,1486,242,242,107
Jam-15,24,1443,234,234,105
Jam-15,24,1525,248,248,114
Jam-15,23,1445,235,235,104
Jam-15,23,1477,240,240,102
Jam-15,23,1482,241,241,107
Jam-15,23,1453,236,236,102
Jam-15,24,1460,237,237,110
Jam-15,23,1436,233,233,101
Jam-15,24,1511,246,246,110
Jam-15,24,1441,234,234,105
Jam-15,23,1508,245,245,108
Jam-15,23,1446,235,235,102
Jam-15,23,1468,238,238,106
Jam-15,23,1438,233,233,99
Jam-15,23,1508,245,245,106
Jam-15,24,1469,239,239,104
Jam-15,24,1454,236,236,103
Jam-15,24,1448,235,235,105
Jam-15,24,1514,246,246,112
Jam-15,23,1465,238,238,100
Jam-15,24,1520,247,247,113
Jam-15,24,1508,245,245,115
Jam-15,23,1446,235,235,101
Jam-15,24,1487,242,242,106
Jam-15,24,1525,248,248,114
Jam-15,24,1473,239,239,110
Jam-15,24,1449,235,235,105
Jam-15,24,1485,241,241,106
Jam-15,23,1500,244,244,109
Jam-15,24,1513,246,246,109
Jam-15,24,1492,242,242,108
Jam-15,24,1495,243,243,106
Jam-15,23,1491,242,242,106
Jam-15,24,1493,243,243,105
Jam-15,23,1481,241,241,104
