Rec(t='1493058254.87', event='commit_move', piece='B', move_nu='9', move='(5, 2, 2)', instance='Jam-7'),12,886832,9312468,513095,2365
Rec(t='1493058258.72', event='commit_move', piece='y', move_nu='10', move='(4, 0, 2)', instance='Jam-7'),11,485865,5315275,575494,2325
Rec(t='1493058266.22', event='commit_move', piece='M', move_nu='11', move='(3, 0, 2)', instance='Jam-7'),10,208968,2301011,448710,2295
Rec(t='1493058270.84', event='commit_move', piece='r', move_nu='12', move='(3, 2, 2)', instance='Jam-7'),9,59413,632337,138076,1971
Rec(t='1493058275.28', event='commit_move', piece='B', move_nu='13', move='(5, 1, 2)', instance='Jam-7'),9,64265,680661,132524,2211
Rec(t='1493058285.74', event='commit_move', piece='g', move_nu='14', move='(0, 3, 2)', instance='Jam-7'),9,62749,667686,134669,2217
Rec(t='1493058292.17', event='commit_move', piece='w', move_nu='15', move='(3, 3, 2)', instance='Jam-7'),10,131854,1455121,109155,2313
Rec(t='1493058303.64', event='commit_move', piece='r', move_nu='16', move='(1, 2, 2)', instance='Jam-7'),11,470060,5412636,374611,2506
Rec(t='1493058309.11', event='commit_move', piece='w', move_nu='17', move='(3, 4, 2)', instance='Jam-7'),10,235609,2573581,437660,2478
Rec(t='1493058318.23', event='commit_move', piece='M', move_nu='18', move='(3, 2, 2)', instance='Jam-7'),11,514785,5617097,304120,2507
Rec(t='1493058322.5', event='commit_move', piece='y', move_nu='19', move='(2, 0, 2)', instance='Jam-7'),12,782317,8119929,219048,2502
Rec(t='1493058330.57', event='commit_move', piece='B', move_nu='20', move='(5, 0, 2)', instance='Jam-7'),13,694808,7336910,139934,2649
Rec(t='1493058345.58', event='commit_move', piece='M', move_nu='21', move='(3, 1, 2)', instance='Jam-7'),13,588091,6119941,572080,2589
Rec(t='1493057630.79', event='start', piece='None', move_nu='0', move='None', instance='Jam-4'),10,2552,26365,5608,242
Rec(t='1493057641.68', event='commit_move', piece='l', move_nu='0', move='(0, 3, 3)', instance='Jam-4'),9,2364,24459,5272,242
Rec(t='1493057645.77', event='commit_move', piece='r', move_nu='1', move='(0, 2, 2)', instance='Jam-4'),8,2106,21808,4746,243
Rec(t='1493057656.16', event='commit_move', piece='b', move_nu='2', move='(2, 0, 2)', instance='Jam-4'),7,1916,19867,4659,232
Rec(t='1493057660.46', event='commit_move', piece='w', move_nu='3', move='(1, 3, 3)', instance='Jam-4'),7,2955,30406,5148,287
Rec(t='1493057665.71', event='commit_move', piece='B', move_nu='4', move='(5, 0, 2)', instance='Jam-4'),7,3179,31977,5516,297
Rec(t='1493057684.94', event='commit_move', piece='c', move_nu='5', move='(3, 5, 3)', instance='Jam-4'),7,2921,29825,5568,306
Rec(t='1493057696.69', event='commit_move', piece='w', move_nu='6', move='(3, 3, 3)', instance='Jam-4'),7,2533,25464,5538,304
Rec(t='1493057703.95', event='commit_move', piece='b', move_nu='7', move='(2, 4, 2)', instance='Jam-4'),8,3401,32339,3277,342
Rec(t='1493057732.41', event='commit_move', piece='w', move_nu='8', move='(1, 3, 3)', instance='Jam-4'),9,4045,37008,3450,342
Rec(t='1493057737.31', event='commit_move', piece='r', move_nu='9', move='(1, 2, 2)', instance='Jam-4'),10,6099,59604,6470,342
Rec(t='1493057742.45', event='commit_move', piece='l', move_nu='10', move='(0, 0, 3)', instance='Jam-4'),11,9198,90229,9845,343
Rec(t='1493057748.32', event='commit_move', piece='w', move_nu='11', move='(0, 3, 3)', instance='Jam-4'),11,4472,41680,5944,340
Rec(t='1493057760.07', event='commit_move', piece='y', move_nu='12', move='(3, 2, 3)', instance='Jam-4'),12,4400,41036,4431,342
Rec(t='1493057770.55', event='commit_move', piece='y', move_nu='13', move='(3, 0, 3)', instance='Jam-4'),11,3926,36981,5411,342
Rec(t='1493057779.82', event='commit_move', piece='w', move_nu='14', move='(3, 3, 3)', instance='Jam-4'),10,3896,36662,5583,340
Rec(t='1493057785.52', event='commit_move', piece='b', move_nu='15', move='(2, 3, 2)', instance='Jam-4'),10,5630,54307,8559,344
Rec(t='1493057790.14', event='commit_move', piece='c', move_nu='16', move='(0, 5, 3)', instance='Jam-4'),11,4500,42409,2693,389
Rec(t='1493057821.24', event='commit_move', piece='c', move_nu='17', move='(3, 5, 3)', instance='Jam-4'),10,5324,51429,8152,342
Rec(t='1493057828.34', event='commit_move', piece='b', move_nu='18', move='(2, 4, 2)', instance='Jam-4'),10,3925,37158,5638,342
Rec(t='1493057832.41', event='commit_move', piece='w', move_nu='19', move='(0, 3, 3)', instance='Jam-4'),11,3986,37377,3812,340
Rec(t='1493057844.77', event='commit_move', piece='y', move_nu='20', move='(3, 2, 3)', instance='Jam-4'),12,4212,39608,3855,344
Rec(t='1493057864.44', event='restart', piece='None', move_nu='21', move='None', instance='Jam-4'),12,4602,43215,6018,342
Rec(t='1493057864.82', event='start', piece='None', move_nu='0', move='None', instance='Jam-4'),10,2630,27208,5889,242
Rec(t='1493057890.27', event='commit_move', piece='c', move_nu='0', move='(0, 5, 3)', instance='Jam-4'),11,2101,21501,2661,266
Rec(t='1493057896.42', event='commit_move', piece='c', move_nu='1', move='(2, 5, 3)', instance='Jam-4'),10,2606,26971,5822,243
Rec(t='1493057906.91', event='start', piece='None', move_nu='0', move='None', instance='Jam-5'),10,83989,1010878,204200,1205
Rec(t='1493057941.05', event='commit_move', piece='b', move_nu='0', move='(1, 0, 2)', instance='Jam-5'),9,39833,470029,96999,1117
Rec(t='1493057946.92', event='commit_move', piece='o', move_nu='1', move='(0, 0, 3)', instance='Jam-5'),8,14726,175121,46454,856
Rec(t='1493057953.9', event='commit_move', piece='M', move_nu='2', move='(0, 3, 3)', instance='Jam-5'),7,2728,31716,12407,415
Rec(t='1493057960.79', event='commit_move', piece='y', move_nu='3', move='(3, 3, 3)', instance='Jam-5'),8,5340,59362,11928,558
Rec(t='1493057966.63', event='commit_move', piece='r', move_nu='4', move='(2, 2, 2)', instance='Jam-5'),9,6207,68315,13612,559
Rec(t='1493057997.89', event='commit_move', piece='w', move_nu='5', move='(4, 0, 3)', instance='Jam-5'),9,5797,64729,20060,582
