Rec(t='1490118084.93', event='commit_move', piece='o', move_nu='5', move='(0, 0, 3)', instance='Jam-5')| 5
Rec(t='1490118086.44', event='commit_move', piece='M', move_nu='6', move='(0, 3, 3)', instance='Jam-5')| 4
Rec(t='1490118088.04', event='commit_move', piece='y', move_nu='7', move='(3, 3, 3)', instance='Jam-5')| 3
Rec(t='1490118089.43', event='commit_move', piece='w', move_nu='8', move='(4, 3, 3)', instance='Jam-5')| 2
Rec(t='1490118090.98', event='commit_move', piece='r', move_nu='9', move='(4, 2, 2)', instance='Jam-5')| 2
Rec(t='1490118288.63', event='start', piece='None', move_nu='0', move='None', instance='Jam-8')| 14
Rec(t='1490118296.4', event='commit_move', piece='c', move_nu='0', move='(0, 1, 2)', instance='Jam-8')| 12
Rec(t='1490118298.15', event='commit_move', piece='b', move_nu='1', move='(0, 0, 2)', instance='Jam-8')| 11
Rec(t='1490118299.92', event='commit_move', piece='B', move_nu='2', move='(2, 0, 2)', instance='Jam-8')| 10
Rec(t='1490118301.37', event='commit_move', piece='g', move_nu='3', move='(3, 0, 2)', instance='Jam-8')| 9
Rec(t='1490118309.29', event='commit_move', piece='M', move_nu='4', move='(4, 0, 2)', instance='Jam-8')| 8
Rec(t='1490118319.73', event='commit_move', piece='r', move_nu='5', move='(3, 2, 2)', instance='Jam-8')| 7
Rec(t='1490118323.31', event='commit_move', piece='t', move_nu='6', move='(2, 2, 2)', instance='Jam-8')| 6
Rec(t='1490118326.15', event='commit_move', piece='o', move_nu='7', move='(2, 4, 3)', instance='Jam-8')| 5
Rec(t='1490118328.1', event='commit_move', piece='w', move_nu='8', move='(2, 5, 3)', instance='Jam-8')| 4
Rec(t='1490118329.55', event='commit_move', piece='m', move_nu='9', move='(3, 3, 2)', instance='Jam-8')| 3
Rec(t='1490118331.02', event='commit_move', piece='y', move_nu='10', move='(5, 3, 3)', instance='Jam-8')| 2
Rec(t='1490118331.7', event='commit_move', piece='r', move_nu='11', move='(4, 2, 2)', instance='Jam-8')| 2
Rec(t='1490118333.29', event='start', piece='None', move_nu='0', move='None', instance='Jam-9')| 13
Rec(t='1490118355.84', event='commit_move', piece='r', move_nu='0', move='(1, 2, 2)', instance='Jam-9')| 12
Rec(t='1490118357.51', event='commit_move', piece='o', move_nu='1', move='(0, 0, 3)', instance='Jam-9')| 11
Rec(t='1490118358.71', event='commit_move', piece='w', move_nu='2', move='(0, 3, 3)', instance='Jam-9')| 10
Rec(t='1490118372.29', event='commit_move', piece='B', move_nu='3', move='(3, 4, 2)', instance='Jam-9')| 9
Rec(t='1490118373.94', event='commit_move', piece='y', move_nu='4', move='(4, 3, 3)', instance='Jam-9')| 8
Rec(t='1490118380.64', event='commit_move', piece='r', move_nu='5', move='(2, 2, 2)', instance='Jam-9')| 7
Rec(t='1490118383.66', event='commit_move', piece='b', move_nu='6', move='(1, 1, 2)', instance='Jam-9')| 6
Rec(t='1490118384.78', event='commit_move', piece='c', move_nu='7', move='(1, 0, 2)', instance='Jam-9')| 5
Rec(t='1490118386.29', event='commit_move', piece='M', move_nu='8', move='(3, 0, 2)', instance='Jam-9')| 4
Rec(t='1490118387.84', event='commit_move', piece='g', move_nu='9', move='(3, 1, 2)', instance='Jam-9')| 3
Rec(t='1490118389.58', event='commit_move', piece='l', move_nu='10', move='(5, 0, 2)', instance='Jam-9')| 2
Rec(t='1490118390.83', event='commit_move', piece='r', move_nu='11', move='(4, 2, 2)', instance='Jam-9')| 2
Rec(t='1490118392.49', event='start', piece='None', move_nu='0', move='None', instance='Jam-10')| 20
Rec(t='1490118399.62', event='commit_move', piece='r', move_nu='0', move='(3, 2, 2)', instance='Jam-10')| 19
Rec(t='1490118415.86', event='start', piece='None', move_nu='0', move='None', instance='Jam-10')| 20
Rec(t='1490118436.7', event='commit_move', piece='m', move_nu='0', move='(1, 5, 2)', instance='Jam-10')| 21
Rec(t='1490118444.54', event='commit_move', piece='m', move_nu='1', move='(0, 5, 2)', instance='Jam-10')| 20
Rec(t='1490118456.81', event='commit_move', piece='M', move_nu='2', move='(3, 0, 2)', instance='Jam-10')| 19
Rec(t='1490118458.0', event='commit_move', piece='y', move_nu='3', move='(5, 0, 3)', instance='Jam-10')| 18
Rec(t='1490118494.63', event='commit_move', piece='m', move_nu='4', move='(1, 5, 2)', instance='Jam-10')| 19
Rec(t='1490118502.35', event='commit_move', piece='m', move_nu='5', move='(0, 5, 2)', instance='Jam-10')| 18
Rec(t='1490118513.11', event='commit_move', piece='r', move_nu='6', move='(3, 2, 2)', instance='Jam-10')| 17
Rec(t='1490118514.47', event='commit_move', piece='w', move_nu='7', move='(3, 3, 3)', instance='Jam-10')| 16
Rec(t='1490118516.22', event='commit_move', piece='c', move_nu='8', move='(2, 4, 2)', instance='Jam-10')| 15
Rec(t='1490118549.04', event='commit_move', piece='c', move_nu='9', move='(2, 3, 2)', instance='Jam-10')| 16
Rec(t='1490118550.38', event='commit_move', piece='m', move_nu='10', move='(1, 5, 2)', instance='Jam-10')| 17
Rec(t='1490118551.66', event='commit_move', piece='o', move_nu='11', move='(0, 3, 3)', instance='Jam-10')| 18
Rec(t='1490118565.62', event='commit_move', piece='B', move_nu='12', move='(1, 1, 2)', instance='Jam-10')| 16
Rec(t='1490118567.08', event='commit_move', piece='b', move_nu='13', move='(1, 0, 2)', instance='Jam-10')| 14
Rec(t='1490118569.62', event='commit_move', piece='o', move_nu='14', move='(0, 0, 3)', instance='Jam-10')| 13
Rec(t='1490118573.14', event='commit_move', piece='m', move_nu='15', move='(0, 5, 2)', instance='Jam-10')| 13
Rec(t='1490118574.22', event='commit_move', piece='c', move_nu='16', move='(2, 4, 2)', instance='Jam-10')| 11
Rec(t='1490118576.22', event='commit_move', piece='w', move_nu='17', move='(0, 3, 3)', instance='Jam-10')| 11
Rec(t='1490118593.66', event='commit_move', piece='w', move_nu='18', move='(3, 3, 3)', instance='Jam-10')| 11
Rec(t='1490118614.94', event='commit_move', piece='w', move_nu='19', move='(0, 3, 3)', instance='Jam-10')| 11
Rec(t='1490118616.12', event='commit_move', piece='r', move_nu='20', move='(1, 2, 2)', instance='Jam-10')| 9
Rec(t='1490118617.59', event='commit_move', piece='g', move_nu='21', move='(3, 1, 2)', instance='Jam-10')| 8
Rec(t='1490118618.69', event='commit_move', piece='l', move_nu='22', move='(3, 4, 2)', instance='Jam-10')| 7
Rec(t='1490118619.84', event='commit_move', piece='p', move_nu='23', move='(3, 5, 2)', instance='Jam-10')| 6
Rec(t='1490118621.61', event='commit_move', piece='y', move_nu='24', move='(5, 3, 3)', instance='Jam-10')| 4
Rec(t='1490118623.56', event='commit_move', piece='M', move_nu='25', move='(4, 0, 2)', instance='Jam-10')| 3
Rec(t='1490118624.63', event='commit_move', piece='g', move_nu='26', move='(3, 0, 2)', instance='Jam-10')| 2
Rec(t='1490118625.61', event='commit_move', piece='r', move_nu='27', move='(4, 2, 2)', instance='Jam-10')| 2
Rec(t='1490119125.4', event='start', piece='None', move_nu='0', move='None', instance='Jam-13')| 24
Rec(t='1490119230.75', event='commit_move', piece='o', move_nu='0', move='(0, 1, 3)', instance='Jam-13')| 26
Rec(t='1490119232.98', event='commit_move', piece='g', move_nu='1', move='(1, 1, 2)', instance='Jam-13')| 26
Rec(t='1490119255.13', event='commit_move', piece='l', move_nu='2', move='(1, 3, 2)', instance='Jam-13')| 26
Rec(t='1490119259.2', event='commit_move', piece='m', move_nu='3', move='(3, 3, 2)', instance='Jam-13')| 27
Rec(t='1490119261.75', event='commit_move', piece='p', move_nu='4', move='(0, 5, 2)', instance='Jam-13')| 26
Rec(t='1490119264.28', event='commit_move', piece='t', move_nu='5', move='(2, 5, 2)', instance='Jam-13')| 27
Rec(t='1490119280.39', event='start', piece='None', move_nu='0', move='None', instance='Jam-13')| 23
Rec(t='1490119292.08', event='commit_move', piece='B', move_nu='0', move='(2, 3, 2)', instance='Jam-13')| 22
Rec(t='1490119294.18', event='commit_move', piece='r', move_nu='1', move='(2, 2, 2)', instance='Jam-13')| 22
Rec(t='1490119298.58', event='commit_move', piece='M', move_nu='2', move='(4, 1, 2)', instance='Jam-13')| 20
Rec(t='1490119301.47', event='commit_move', piece='c', move_nu='3', move='(4, 0, 2)', instance='Jam-13')| 21
Rec(t='1490119303.83', event='commit_move', piece='b', move_nu='4', move='(2, 0, 2)', instance='Jam-13')| 22
Rec(t='1490119308.52', event='commit_move', piece='o', move_nu='5', move='(0, 0, 3)', instance='Jam-13')| 25
