Rec(t='1489782817.39', event='commit_move', piece='b', move_nu='0', move='(1, 0, 2)', instance='Jam-5') 9
Rec(t='1489782819.43', event='commit_move', piece='o', move_nu='1', move='(0, 0, 3)', instance='Jam-5') 8
Rec(t='1489782821.9', event='commit_move', piece='M', move_nu='2', move='(0, 3, 3)', instance='Jam-5') 7
Rec(t='1489782824.41', event='commit_move', piece='g', move_nu='3', move='(1, 4, 2)', instance='Jam-5') 6
Rec(t='1489782826.47', event='commit_move', piece='l', move_nu='4', move='(1, 5, 2)', instance='Jam-5') 5
Rec(t='1489782828.93', event='commit_move', piece='y', move_nu='5', move='(3, 3, 3)', instance='Jam-5') 4
Rec(t='1489782830.69', event='commit_move', piece='w', move_nu='6', move='(4, 3, 3)', instance='Jam-5') 3
Rec(t='1489782833.42', event='commit_move', piece='m', move_nu='7', move='(5, 3, 2)', instance='Jam-5') 2
Rec(t='1489782834.94', event='win', piece='r', move_nu='8', move='(4, 2, 2)', instance='Jam-5') 2
Rec(t='1489783895.08', event='start', piece='None', move_nu='0', move='None', instance='Jam-14') 18
Rec(t='1489783926.68', event='commit_move', piece='B', move_nu='0', move='(0, 1, 2)', instance='Jam-14') 17
Rec(t='1489783929.06', event='commit_move', piece='g', move_nu='1', move='(1, 1, 2)', instance='Jam-14') 16
Rec(t='1489783930.35', event='commit_move', piece='p', move_nu='2', move='(0, 3, 2)', instance='Jam-14') 15
Rec(t='1489783931.93', event='commit_move', piece='o', move_nu='3', move='(2, 3, 2)', instance='Jam-14') 14
Rec(t='1489783933.53', event='commit_move', piece='y', move_nu='4', move='(4, 5, 2)', instance='Jam-14') 13
Rec(t='1489783935.0', event='commit_move', piece='o', move_nu='5', move='(2, 4, 2)', instance='Jam-14') 12
Rec(t='1489783936.48', event='commit_move', piece='p', move_nu='6', move='(2, 3, 2)', instance='Jam-14') 11
Rec(t='1489783938.03', event='commit_move', piece='g', move_nu='7', move='(1, 4, 2)', instance='Jam-14') 10
Rec(t='1489783939.48', event='commit_move', piece='B', move_nu='8', move='(0, 4, 2)', instance='Jam-14') 9
Rec(t='1489783941.13', event='commit_move', piece='r', move_nu='9', move='(0, 2, 2)', instance='Jam-14') 8
Rec(t='1489783942.45', event='commit_move', piece='p', move_nu='10', move='(0, 3, 2)', instance='Jam-14') 7
Rec(t='1489783950.41', event='commit_move', piece='o', move_nu='11', move='(2, 2, 2)', instance='Jam-14') 8
Rec(t='1489783971.97', event='commit_move', piece='o', move_nu='12', move='(2, 4, 2)', instance='Jam-14') 7
Rec(t='1489783973.7', event='commit_move', piece='c', move_nu='13', move='(2, 2, 2)', instance='Jam-14') 6
Rec(t='1489783975.48', event='commit_move', piece='b', move_nu='14', move='(4, 0, 2)', instance='Jam-14') 7
