Rec(t='1490037000.49', event='commit_move', piece='g', move_nu='2', move='(2, 4, 2)', instance='Jam-6') 14
Rec(t='1490037001.33', event='commit_move', piece='B', move_nu='3', move='(1, 3, 2)', instance='Jam-6') 15
Rec(t='1490037004.94', event='commit_move', piece='l', move_nu='4', move='(0, 0, 2)', instance='Jam-6') 8
Rec(t='1490037006.28', event='commit_move', piece='B', move_nu='5', move='(0, 3, 2)', instance='Jam-6') 7
Rec(t='1490037007.26', event='commit_move', piece='g', move_nu='6', move='(2, 3, 2)', instance='Jam-6') 6
Rec(t='1490037009.1', event='commit_move', piece='m', move_nu='7', move='(0, 5, 3)', instance='Jam-6') 5
Rec(t='1490037010.81', event='commit_move', piece='w', move_nu='8', move='(3, 3, 3)', instance='Jam-6') 4
Rec(t='1490037011.9', event='commit_move', piece='y', move_nu='9', move='(4, 3, 3)', instance='Jam-6') 3
Rec(t='1490037012.93', event='commit_move', piece='o', move_nu='10', move='(5, 3, 3)', instance='Jam-6') 2
Rec(t='1490037013.8', event='win', piece='r', move_nu='11', move='(4, 2, 2)', instance='Jam-6') 2
Rec(t='1490037016.12', event='start', piece='None', move_nu='0', move='None', instance='Jam-7') 14
Rec(t='1490037032.36', event='commit_move', piece='l', move_nu='0', move='(5, 4, 2)', instance='Jam-7') 13
Rec(t='1490037039.71', event='commit_move', piece='c', move_nu='1', move='(4, 4, 2)', instance='Jam-7') 12
Rec(t='1490037046.82', event='commit_move', piece='B', move_nu='2', move='(5, 1, 2)', instance='Jam-7') 11
Rec(t='1490037048.25', event='commit_move', piece='y', move_nu='3', move='(4, 0, 2)', instance='Jam-7') 10
Rec(t='1490037049.35', event='commit_move', piece='M', move_nu='4', move='(3, 0, 2)', instance='Jam-7') 9
Rec(t='1490037071.61', event='commit_move', piece='r', move_nu='5', move='(2, 2, 2)', instance='Jam-7') 8
Rec(t='1490037073.25', event='commit_move', piece='b', move_nu='6', move='(1, 4, 2)', instance='Jam-7') 7
Rec(t='1490037075.21', event='commit_move', piece='r', move_nu='7', move='(1, 2, 2)', instance='Jam-7') 6
Rec(t='1490037076.0', event='commit_move', piece='M', move_nu='8', move='(3, 1, 2)', instance='Jam-7') 5
Rec(t='1490037077.48', event='commit_move', piece='y', move_nu='9', move='(0, 0, 2)', instance='Jam-7') 4
Rec(t='1490037079.31', event='commit_move', piece='M', move_nu='10', move='(3, 0, 2)', instance='Jam-7') 3
Rec(t='1490037080.03', event='commit_move', piece='B', move_nu='11', move='(5, 0, 2)', instance='Jam-7') 2
Rec(t='1490037080.88', event='win', piece='r', move_nu='12', move='(4, 2, 2)', instance='Jam-7') 2
Rec(t='1490036889.12', event='start', piece='None', move_nu='0', move='None', instance='Jam-4') 10
Rec(t='1490036899.83', event='commit_move', piece='l', move_nu='0', move='(0, 3, 3)', instance='Jam-4') 9
Rec(t='1490036900.73', event='commit_move', piece='r', move_nu='1', move='(0, 2, 2)', instance='Jam-4') 8
Rec(t='1490036904.0', event='commit_move', piece='b', move_nu='2', move='(2, 0, 2)', instance='Jam-4') 7
Rec(t='1490036909.06', event='commit_move', piece='r', move_nu='3', move='(1, 2, 2)', instance='Jam-4') 6
Rec(t='1490036911.71', event='commit_move', piece='l', move_nu='4', move='(0, 0, 3)', instance='Jam-4') 5
Rec(t='1490036913.97', event='commit_move', piece='w', move_nu='5', move='(0, 3, 3)', instance='Jam-4') 4
Rec(t='1490036916.18', event='commit_move', piece='c', move_nu='6', move='(0, 5, 3)', instance='Jam-4') 3
Rec(t='1490036917.55', event='commit_move', piece='y', move_nu='7', move='(3, 3, 3)', instance='Jam-4') 2
Rec(t='1490036918.25', event='win', piece='r', move_nu='8', move='(4, 2, 2)', instance='Jam-4') 2
Rec(t='1490036920.7', event='start', piece='None', move_nu='0', move='None', instance='Jam-5') 10
Rec(t='1490036935.66', event='commit_move', piece='b', move_nu='0', move='(1, 0, 2)', instance='Jam-5') 9
Rec(t='1490036936.83', event='commit_move', piece='o', move_nu='1', move='(0, 0, 3)', instance='Jam-5') 8
Rec(t='1490036954.22', event='commit_move', piece='g', move_nu='2', move='(1, 4, 2)', instance='Jam-5') 7
Rec(t='1490036955.3', event='commit_move', piece='l', move_nu='3', move='(1, 5, 2)', instance='Jam-5') 6
