subject, instance, optimal_length, human_length, complete, rt,nodes_expanded, skipped, trial_number
A2NO0HQPTYBTRH:3KAKFY4PGVA91WJEVL8ZS7LCFSN3I9,prb12360,999,2,False,24616.0,999,True,0
A2NO0HQPTYBTRH:3KAKFY4PGVA91WJEVL8ZS7LCFSN3I9,prb13488,999,1,False,0.0,999,True,0
A2NO0HQPTYBTRH:3KAKFY4PGVA91WJEVL8ZS7LCFSN3I9,prb18275,999,2,False,49992.0,999,True,0
A2NO0HQPTYBTRH:3KAKFY4PGVA91WJEVL8ZS7LCFSN3I9,prb81064,999,2,False,14717.0,999,True,0
A2NO0HQPTYBTRH:3KAKFY4PGVA91WJEVL8ZS7LCFSN3I9,prb41392,999,3,False,9410.0,999,True,0
A2NO0HQPTYBTRH:3KAKFY4PGVA91WJEVL8ZS7LCFSN3I9,prb13482,999,2,False,52730.0,999,False,0
A2NO0HQPTYBTRH:3KAKFY4PGVA91WJEVL8ZS7LCFSN3I9,prb13482,999,2,False,27741.0,999,True,1
A2NO0HQPTYBTRH:3KAKFY4PGVA91WJEVL8ZS7LCFSN3I9,prb24009,999,3,False,45624.0,999,True,0
A2NO0HQPTYBTRH:3KAKFY4PGVA91WJEVL8ZS7LCFSN3I9,prb79216,999,2,False,102475.0,999,True,0
A2NO0HQPTYBTRH:3KAKFY4PGVA91WJEVL8ZS7LCFSN3I9,prb17035,999,2,False,23772.0,999,True,0
A2NO0HQPTYBTRH:3KAKFY4PGVA91WJEVL8ZS7LCFSN3I9,prb7549,999,2,False,54656.0,999,True,0
A2NO0HQPTYBTRH:3KAKFY4PGVA91WJEVL8ZS7LCFSN3I9,prb19885,999,3,False,10162.0,999,True,0
A2NO0HQPTYBTRH:3KAKFY4PGVA91WJEVL8ZS7LCFSN3I9,prb15595,999,2,False,35424.0,999,True,0
A2NO0HQPTYBTRH:3KAKFY4PGVA91WJEVL8ZS7LCFSN3I9,prb65535,999,2,False,35616.0,999,False,0
A2NO0HQPTYBTRH:3KAKFY4PGVA91WJEVL8ZS7LCFSN3I9,prb65535,999,2,False,20262.0,999,True,1
A2NO0HQPTYBTRH:3KAKFY4PGVA91WJEVL8ZS7LCFSN3I9,prb4893,999,3,False,11999.0,999,True,0
A2NO0HQPTYBTRH:3KAKFY4PGVA91WJEVL8ZS7LCFSN3I9,prb717,999,2,False,58095.0,999,False,0
A2NO0HQPTYBTRH:3KAKFY4PGVA91WJEVL8ZS7LCFSN3I9,prb717,999,2,False,51461.0,999,True,1
A2NO0HQPTYBTRH:3KAKFY4PGVA91WJEVL8ZS7LCFSN3I9,prb43450,999,3,False,15601.0,999,True,0
A2NO0HQPTYBTRH:3KAKFY4PGVA91WJEVL8ZS7LCFSN3I9,prb10195,999,2,False,60007.0,999,True,0
A2NO0HQPTYBTRH:3KAKFY4PGVA91WJEVL8ZS7LCFSN3I9,prb25255,999,2,False,97797.0,999,False,0
A2NO0HQPTYBTRH:3KAKFY4PGVA91WJEVL8ZS7LCFSN3I9,prb25255,999,2,False,35365.0,999,True,1
A2NO0HQPTYBTRH:3KAKFY4PGVA91WJEVL8ZS7LCFSN3I9,prb25705,999,2,False,28939.0,999,False,0
A2NO0HQPTYBTRH:3KAKFY4PGVA91WJEVL8ZS7LCFSN3I9,prb25705,999,2,False,17542.0,999,True,1
A2NO0HQPTYBTRH:3KAKFY4PGVA91WJEVL8ZS7LCFSN3I9,prb35826,999,2,False,24258.0,999,True,0
A2NO0HQPTYBTRH:3KAKFY4PGVA91WJEVL8ZS7LCFSN3I9,prb17203,999,2,False,20425.0,999,True,0
A2NO0HQPTYBTRH:3KAKFY4PGVA91WJEVL8ZS7LCFSN3I9,prb48202,999,2,False,17463.0,999,True,0
A2NO0HQPTYBTRH:3KAKFY4PGVA91WJEVL8ZS7LCFSN3I9,prb76929,999,2,False,32216.0,999,True,0
A2NO0HQPTYBTRH:3KAKFY4PGVA91WJEVL8ZS7LCFSN3I9,prb26685,999,3,False,8578.0,999,True,0
A2NO0HQPTYBTRH:3KAKFY4PGVA91WJEVL8ZS7LCFSN3I9,prb11586,999,3,False,8502.0,999,True,0
A2NO0HQPTYBTRH:3KAKFY4PGVA91WJEVL8ZS7LCFSN3I9,prb9494,999,1,False,0.0,999,True,0
A2NO0HQPTYBTRH:3KAKFY4PGVA91WJEVL8ZS7LCFSN3I9,prb21669,999,2,False,49796.0,999,True,0
A2NO0HQPTYBTRH:3KAKFY4PGVA91WJEVL8ZS7LCFSN3I9,prb32880,999,3,False,37796.0,999,True,0
A2NO0HQPTYBTRH:3KAKFY4PGVA91WJEVL8ZS7LCFSN3I9,prb2636,999,1,False,0.0,999,True,0
A2NO0HQPTYBTRH:3KAKFY4PGVA91WJEVL8ZS7LCFSN3I9,prb39738,999,3,False,19099.0,999,True,0
A2NO0HQPTYBTRH:3KAKFY4PGVA91WJEVL8ZS7LCFSN3I9,prb19356,999,2,False,34764.0,999,False,0
A2NO0HQPTYBTRH:3KAKFY4PGVA91WJEVL8ZS7LCFSN3I9,prb19356,999,2,False,19766.0,999,True,1
A2NO0HQPTYBTRH:3KAKFY4PGVA91WJEVL8ZS7LCFSN3I9,prb1228,999,2,False,11308.0,999,True,0
